OBJECTID,PG_ID,BARRAMENTO,LATITUDE,LONGITUDE,MUNICIPIO
302472,875828,DB62074,-6.17882051,-37.74187147,Almino Afonso
302473,875829,DB6208X,-6.17905413,-37.74232397,Almino Afonso
302474,875830,DB62069,-6.17863166,-37.74155464,Almino Afonso
302475,875831,DB62027,-6.17793547,-37.74153429,Almino Afonso
302476,875832,DB62011,-6.17622632,-37.74158291,Almino Afonso
302477,875833,DB6193X,-6.17193057,-37.7417857,Almino Afonso
302478,875834,DB61945,-6.1722005,-37.74219314,Almino Afonso
302479,875835,DB61924,-6.17163357,-37.7413601,Almino Afonso
302480,875836,DB61919,-6.17069779,-37.73994764,Almino Afonso
302481,875837,DB61903,-6.16991478,-37.7388248,Almino Afonso
302482,875838,DB61898,-6.16927593,-37.73785601,Almino Afonso
302483,875839,DB61882,-6.16959103,-37.73828166,Almino Afonso
302484,875840,DB61861,-6.16889843,-37.73715911,Almino Afonso
302485,875841,DB61856,-6.16864717,-37.73657105,Almino Afonso
302486,875842,DB61840,-6.16786161,-37.73622517,Almino Afonso
302487,875843,DB49692,-6.1596994,-37.73532229,Almino Afonso
302488,875844,DB61730,-6.16111077,-37.73508294,Almino Afonso
302489,875845,DB49687,-6.15858637,-37.73558067,Almino Afonso
302490,875846,DB49666,-6.15691242,-37.73592758,Almino Afonso
302491,875847,DB49671,-6.1570674,-37.7355396,Almino Afonso
302492,875848,DB49650,-6.15678525,-37.73610786,Almino Afonso
302493,875849,DB49645,-6.15652102,-37.73672134,Almino Afonso
302494,875850,DB4963X,-6.15572921,-37.73829978,Almino Afonso
302495,875851,DB49624,-6.15473714,-37.74028412,Almino Afonso
302496,875852,DB49619,-6.15439899,-37.74073922,Almino Afonso
302497,875853,DB49603,-6.15415541,-37.74121276,Almino Afonso
302498,875854,DB49582,-6.15370039,-37.74210568,Almino Afonso
302499,875855,DB49598,-6.15412141,-37.74331765,Almino Afonso
302500,875856,DB49577,-6.15243574,-37.74448662,Almino Afonso
302501,875857,DB49556,-6.15169001,-37.74579416,Almino Afonso
302502,875858,DC52466,-6.15660943,-37.76149869,Almino Afonso
302503,875859,CD67562,-6.15593359,-37.76145545,Almino Afonso
302504,875860,DB49561,-6.15249065,-37.74705254,Almino Afonso
302505,875861,DB49540,-6.15088402,-37.74617097,Almino Afonso
302506,875862,DB49404,-6.14985154,-37.74668255,Almino Afonso
302507,875863,DB49399,-6.14915427,-37.74699647,Almino Afonso
302508,875864,DB49383,-6.14955747,-37.74812707,Almino Afonso
302509,875865,DB49378,-6.14986212,-37.74897728,Almino Afonso
302510,875866,DB49362,-6.15029232,-37.75014411,Almino Afonso
302511,875867,DB49357,-6.1509733,-37.75204352,Almino Afonso
302512,875868,DB49341,-6.15149311,-37.75345457,Almino Afonso
302513,875869,DB49336,-6.15180664,-37.75434999,Almino Afonso
302514,875870,DB49320,-6.15223683,-37.75551682,Almino Afonso
302515,875871,DB49315,-6.15269379,-37.75679214,Almino Afonso
302516,875872,DB4930X,-6.15314211,-37.75794097,Almino Afonso
302517,875873,CD67667,-6.1542341,-37.76132337,Almino Afonso
302518,875874,CD67646,-6.15425305,-37.76106144,Almino Afonso
302519,875875,CD67630,-6.15462294,-37.76131562,Almino Afonso
302520,875876,CD67583,-6.15538214,-37.76141749,Almino Afonso
302560,875916,DB04960,-6.1704996,-37.7174416,Almino Afonso
302561,875917,DB04955,-6.16987422,-37.71789132,Almino Afonso
302562,875918,DB0494X,-6.16825206,-37.71899737,Almino Afonso
302563,875919,DB04934,-6.16743654,-37.71952779,Almino Afonso
302564,875920,DB04929,-6.16642156,-37.72022018,Almino Afonso
302565,875921,DB04913,-6.16488106,-37.72124517,Almino Afonso
302566,875922,DB04908,-6.16450939,-37.72153308,Almino Afonso
302567,875923,DB04892,-6.1606941,-37.72415886,Almino Afonso
302568,875924,DB04887,-6.16016854,-37.72450048,Almino Afonso
302569,875925,DB04871,-6.15844666,-37.72568748,Almino Afonso
302570,875926,DB04866,-6.15754953,-37.72628989,Almino Afonso
302571,875927,DB04850,-6.15649818,-37.72704539,Almino Afonso
302572,875928,DB04845,-6.15556648,-37.72715079,Almino Afonso
302573,875929,DB04688,-6.14297751,-37.72780581,Almino Afonso
302574,875930,BB0472,-6.14257481,-37.72650358,Almino Afonso
302575,875931,DB04667,-6.14218999,-37.72526465,Almino Afonso
302576,875932,DB04651,-6.14180493,-37.724098,Almino Afonso
302577,875933,DB04646,-6.1413214,-37.72262387,Almino Afonso
302578,875934,DB04630,-6.14089173,-37.72126735,Almino Afonso
302579,875935,DB04625,-6.14052461,-37.72014593,Almino Afonso
302580,875936,DB0461X,-6.14011273,-37.71887982,Almino Afonso
302581,875937,DB04604,-6.13980854,-37.71786702,Almino Afonso
302582,875938,DB04447,-6.13932504,-37.71637482,Almino Afonso
302583,875939,DB04468,-6.13706063,-37.71756912,Almino Afonso
302584,875940,DB04473,-6.13585607,-37.71817055,Almino Afonso
302585,875942,DB04431,-6.1389939,-37.71530773,Almino Afonso
302586,875943,DB04426,-6.13860007,-37.71405071,Almino Afonso
302587,875944,M93912,-6.13762512,-37.7110249,Almino Afonso
302588,875945,DB04405,-6.13745401,-37.71049661,Almino Afonso
302589,875946,DB0439X,-6.13714045,-37.70958315,Almino Afonso
302602,875959,DB05718,-6.18117112,-37.72257169,Almino Afonso
302603,875960,DB05702,-6.17961816,-37.72185291,Almino Afonso
302604,875961,DB05697,-6.17848053,-37.72132521,Almino Afonso
302605,875962,DB05660,-6.17719154,-37.7200652,Almino Afonso
302606,875963,DB05655,-6.17649768,-37.7193221,Almino Afonso
302607,875964,DB0564X,-6.175443,-37.7183068,Almino Afonso
302608,875965,DB05634,-6.17531691,-37.7181528,Almino Afonso
302609,875966,DB05629,-6.1742444,-37.71705613,Almino Afonso
302610,875967,DB05592,-6.17341507,-37.7162584,Almino Afonso
302611,875968,U70225,-6.17288439,-37.71585053,Almino Afonso
302612,875969,DB05110,-6.17456837,-37.71473523,Almino Afonso
302613,875970,DB05126,-6.17520279,-37.71428553,Almino Afonso
302614,875971,DB05105,-6.17381623,-37.71523876,Almino Afonso
302615,875972,DB62210,-6.17722649,-37.73713205,Almino Afonso
302616,875973,DB62226,-6.17772643,-37.73632958,Almino Afonso
302617,875974,DB62205,-6.17697209,-37.73750164,Almino Afonso
302618,875975,DB6219X,-6.17675396,-37.73784425,Almino Afonso
302619,875976,DB62163,-6.17647797,-37.73928891,Almino Afonso
302620,875977,DB62158,-6.17635814,-37.73998419,Almino Afonso
