OBJECTID,PG_ID,BARRAMENTO,LATITUDE,LONGITUDE,MUNICIPIO
128753,324419,P29912,-6.1871142,-35.35770508,Brejinho
128754,324420,P28814,-6.18707237,-35.35775041,Brejinho
128755,324421,P30398,-6.1872623,-35.35757447,Brejinho
128756,324422,P30399,-6.18745808,-35.35744932,Brejinho
128757,324423,P29913,-6.18780666,-35.35731266,Brejinho
128758,324424,P29914,-6.1882692,-35.35723493,Brejinho
128759,324425,P29915,-6.18853837,-35.35736374,Brejinho
128760,324426,P29916,-6.1887204,-35.3575462,Brejinho
128761,324427,P29917,-6.18892516,-35.35779469,Brejinho
128762,324428,P29918,-6.18866776,-35.358124,Brejinho
128763,324429,P29919,-6.18910982,-35.35745172,Brejinho
128764,324431,P29921,-6.18936006,-35.35717962,Brejinho
128765,324432,P30421,-6.18919103,-35.35721147,Brejinho
128766,324433,P29922,-6.18931064,-35.35730008,Brejinho
128767,324434,P29923,-6.18964063,-35.35752853,Brejinho
128768,324435,GD5720,-6.18991513,-35.35772713,Brejinho
128769,324436,P29925,-6.19019716,-35.35794045,Brejinho
128770,324437,P29926,-6.19045946,-35.35813744,Brejinho
128771,324438,P29927,-6.19073091,-35.35835358,Brejinho
128772,324440,P29929,-6.19088213,-35.35833749,Brejinho
128773,324441,L33602,-6.19038201,-35.35909833,Brejinho
128774,324442,L33604,-6.19083539,-35.35978254,Brejinho
128775,324444,P29933,-6.19103869,-35.35861505,Brejinho
128776,324445,P29934,-6.19132425,-35.35882864,Brejinho
128777,324446,P29935,-6.19162438,-35.35905306,Brejinho
128778,324448,P29937,-6.19226701,-35.35952282,Brejinho
128779,324449,P29938,-6.19253021,-35.35971809,Brejinho
128780,324450,P29939,-6.19283941,-35.35996076,Brejinho
128781,324451,P29940,-6.19317171,-35.36022817,Brejinho
128782,324452,P29941,-6.19340974,-35.36041398,Brejinho
128783,324453,P29942,-6.19364544,-35.360612,Brejinho
128784,324454,P29943,-6.19396299,-35.36087653,Brejinho
128785,324455,P29944,-6.19426034,-35.36111551,Brejinho
128786,324456,P29945,-6.19456524,-35.36138982,Brejinho
128787,324457,P29946,-6.19477088,-35.36156438,Brejinho
128788,324458,P29947,-6.19495003,-35.36130041,Brejinho
