OBJECTID,PG_ID,BARRAMENTO,LATITUDE,LONGITUDE,MUNICIPIO
107550,195087,PY04996,-6.04168277,-36.78193995,Santana do Matos
107551,195088,AA81333,-6.04237839,-36.78256442,Santana do Matos
107552,195089,AD31120,-6.04130303,-36.78182194,Santana do Matos
107553,195090,AB05778,-6.03596632,-36.78170589,Santana do Matos
107554,195091,AB05762,-6.03591136,-36.78218471,Santana do Matos
107555,195092,AB05757,-6.03600101,-36.7827541,Santana do Matos
107556,195093,AB05741,-6.03602637,-36.78400108,Santana do Matos
107557,195094,PY05010,-6.03572743,-36.78430787,Santana do Matos
107558,195095,PY05020,-6.03173285,-36.78815139,Santana do Matos
107559,195096,AB05626,-6.03187822,-36.78769981,Santana do Matos
107560,195097,AB05610,-6.03168005,-36.78712124,Santana do Matos
107561,195098,AB05605,-6.03149981,-36.78665112,Santana do Matos
107562,195099,AB0559X,-6.0312925,-36.78613578,Santana do Matos
107563,195100,AB05584,-6.03102178,-36.78568361,Santana do Matos
107564,195101,AB05579,-6.03075174,-36.78475254,Santana do Matos
107565,195102,AB05563,-6.03072622,-36.78362304,Santana do Matos
107566,195103,AA9586X,-6.03357881,-36.78134106,Santana do Matos
107567,195104,AA95854,-6.03543349,-36.78109973,Santana do Matos
107568,195105,AA95849,-6.03596708,-36.78117278,Santana do Matos
107569,195106,AA95833,-6.03687146,-36.78129153,Santana do Matos
107570,195107,PY05003,-6.03765823,-36.78142819,Santana do Matos
107582,195119,AB05343,-6.05178685,-36.77543032,Santana do Matos
107583,195120,AB05338,-6.05110099,-36.77429983,Santana do Matos
107584,195121,AB05322,-6.05068603,-36.77349503,Santana do Matos
107585,195122,PY04923,-6.05135686,-36.77245683,Santana do Matos
107602,195139,AA95812,-6.03897876,-36.7815114,Santana do Matos
107603,195140,AA95807,-6.04068824,-36.7816042,Santana do Matos
107604,195141,AA81328,-6.04305594,-36.7831708,Santana do Matos
107633,195170,AD35345,-6.03632536,-36.78365814,Santana do Matos
107639,195176,AB05558,-6.03074525,-36.78296345,Santana do Matos
107640,195177,AB05542,-6.03041147,-36.78232144,Santana do Matos
107641,195178,PY05013,-6.03009582,-36.78166138,Santana do Matos
107642,195179,AB05521,-6.02994307,-36.7809383,Santana do Matos
107643,195180,AB05516,-6.03060373,-36.78070431,Santana do Matos
107644,195181,AB05500,-6.03122827,-36.7804251,Santana do Matos
107645,195182,AB05495,-6.0317437,-36.78054329,Santana do Matos
107646,195183,AB0548X,-6.03223194,-36.7806976,Santana do Matos
107647,195184,AB05474,-6.03274692,-36.78113205,Santana do Matos
107648,195185,AB05469,-6.03257442,-36.78157455,Santana do Matos
107733,195280,AD31314,-6.04670565,-36.78011281,Santana do Matos
107734,195281,L01538,-6.04570228,-36.77963247,Santana do Matos
107735,195282,AA81197,-6.05063161,-36.77998287,Santana do Matos
107736,195283,AB05296,-6.04076608,-36.77774597,Santana do Matos
107737,195284,AB05280,-6.0402969,-36.77690496,Santana do Matos
