OBJECTID,PG_ID,BARRAMENTO,LATITUDE,LONGITUDE,MUNICIPIO
157584,521758,AF52186,-6.38422049,-37.3438422,Jardim de Piranhas
157585,521761,AF52872,-6.38437756,-37.35136373,Jardim de Piranhas
157586,521762,AF52909,-6.38677384,-37.35148754,Jardim de Piranhas
157587,521763,AF52914,-6.38803989,-37.35151798,Jardim de Piranhas
157588,521764,AF5292X,-6.38930601,-37.3515213,Jardim de Piranhas
157589,521765,AF52956,-6.39054502,-37.35151551,Jardim de Piranhas
157590,521766,AF52935,-6.38914921,-37.35267803,Jardim de Piranhas
157591,521767,AF52940,-6.38901084,-37.35370824,Jardim de Piranhas
157592,521768,L84594,-6.39179296,-37.35155494,Jardim de Piranhas
157593,521769,AF52977,-6.39310757,-37.35150812,Jardim de Piranhas
157594,521770,AF55040,-6.38302679,-37.3422659,Jardim de Piranhas
157595,521771,AF55061,-6.383307,-37.34232087,Jardim de Piranhas
157596,521772,AF55077,-6.3835781,-37.34240294,Jardim de Piranhas
157597,521774,AF68919,-6.40549827,-37.35004504,Jardim de Piranhas
157598,521775,AF68510,-6.40694574,-37.34986803,Jardim de Piranhas
157599,521776,AF6893X,-6.40448478,-37.35026839,Jardim de Piranhas
157600,521777,AF68945,-6.40439367,-37.35052128,Jardim de Piranhas
157601,521778,AF68924,-6.4050641,-37.35007102,Jardim de Piranhas
157602,521779,AF68971,-6.4030557,-37.35032791,Jardim de Piranhas
157603,521780,AF68987,-6.40192488,-37.35046055,Jardim de Piranhas
157604,521781,AF53059,-6.39684956,-37.35112525,Jardim de Piranhas
157605,521782,AF53127,-6.39810714,-37.3509387,Jardim de Piranhas
157606,521783,AF53132,-6.39937369,-37.3507793,Jardim de Piranhas
157607,521784,AF53148,-6.4007669,-37.35060215,Jardim de Piranhas
157608,521785,AF53153,-6.40135498,-37.3505133,Jardim de Piranhas
157609,521786,AF53169,-6.40116139,-37.351905,Jardim de Piranhas
157610,521787,AF53174,-6.40092648,-37.35321206,Jardim de Piranhas
157611,521788,AF68531,-6.4069135,-37.3518026,Jardim de Piranhas
157612,521789,AF68547,-6.40685603,-37.35301387,Jardim de Piranhas
157613,521790,AF68552,-6.40682557,-37.35427042,Jardim de Piranhas
157751,521930,AF68657,-6.41130714,-37.34213174,Jardim de Piranhas
157752,521931,AF68641,-6.41025504,-37.34327714,Jardim de Piranhas
157753,521932,L79769,-6.41221419,-37.34111252,Jardim de Piranhas
157754,521933,AF68704,-6.41728325,-37.33938996,Jardim de Piranhas
157755,521934,AF6871X,-6.4177235,-37.34049408,Jardim de Piranhas
157756,521935,AF68746,-6.41821194,-37.34390369,Jardim de Piranhas
157757,521936,AF68751,-6.41816408,-37.34490708,Jardim de Piranhas
157881,522060,AF68793,-6.41881579,-37.33781184,Jardim de Piranhas
157882,522061,AF68809,-6.41742208,-37.33817887,Jardim de Piranhas
157883,522062,AF6882X,-6.42140404,-37.33715862,Jardim de Piranhas
157884,522063,AF68814,-6.42003757,-37.33748052,Jardim de Piranhas
157885,522064,AF68861,-6.42701702,-37.33494017,Jardim de Piranhas
157886,522065,AF68856,-6.42633627,-37.33587865,Jardim de Piranhas
